index,year,university,final_grade,1_list,since_2010,city,covid_format_change,growth_1_list,growth_final_grade,diff_1_list_final_grade,CCAA,latitude,longitude
0.0,2010,u. de lérida,11.04,11.654,True,lérida,0.0,,,0.614,Cataluña,41.81636125,1.59713745
1.0,2010,u. de gerona,11.07,11.61,True,gerona,0.0,,,0.54,Cataluña,41.9743792,2.8235429
2.0,2010,u. rovira i virgili (reus),11.142,11.708,True,reus,0.0,,,0.566,Cataluña,41.155309,1.1053273
3.0,2010,u. de zaragoza (campus huesca),11.19,12.059,True,huesca,0.0,,,0.869,Aragón,42.1414059,-0.4060896
4.0,2010,u. autónoma de barcelona,11.195,11.59,True,barcelona,0.0,,,0.395,Cataluña,41.5025932,2.080056
5.0,2010,u. de valladolid,11.204,12.29,True,valladolid,0.0,,,1.086,Castilla y León,41.6105937,-4.6916619
6.0,2010,u. de cantabria (santander),11.212,12.592,True,santander,0.0,,,1.38,Cantabria,43.4736983,-3.7859174
7.0,2010,u. de santiago de compostela,11.23,11.8,True,santiago de compostela,0.0,,,0.57,Galicia,42.88050025,-8.5457602
8.0,2010,u. de extremadura (badajoz),11.236,12.5,True,badajoz,0.0,,,1.264,Extremadura,38.8824069,-7.0194457
9.0,2010,u. de cádiz,11.286,12.12,True,cádiz,0.0,,,0.834,Andalucía,36.5340199,-6.3018987
10.0,2010,u. pompeu fabra (barcelona),11.328,11.976,True,barcelona,0.0,,,0.648,Cataluña,41.37921475,2.17941527
11.0,2010,u. de barcelona-clínico,11.35,12.04,True,barcelona,0.0,,,0.69,Cataluña,41.39017434,2.15212588
12.0,2010,u. de salamanca,11.37,12.564,True,salamanca,0.0,,,1.194,Castilla y León,40.9666432,-5.6772757
13.0,2010,u. de zaragoza (campus zaragoza),11.39,12.185,True,zaragoza,0.0,,,0.795,Aragón,41.6421312,-0.90302271
14.0,2010,u. de c-la mancha (campus c.real),11.478,12.343,True,ciudad real,0.0,,,0.865,Castilla-La Mancha,38.9918372,-3.9268263
15.0,2010,u. de córdoba,11.496,12.295,True,córdoba,0.0,,,0.799,Andalucía,37.8560421,-4.8134452
16.0,2010,u. del país vasco (lejona),11.503,11.922,True,bilbao,0.0,,,0.419,País Vasco,43.3359821,-2.9768285
17.0,2010,u. de c-la mancha (campus albacete),11.53,12.246,True,albacete,0.0,,,0.716,Castilla-La Mancha,38.4527362,-2.05363374
