year,university,1_list,final_grade,since_2010,city,CCAA,covid_format_change,diff_1_list,diff_final_grade,diff_1_list_final_grade,latitude,longitude
2010,u. de lérida,11.654,11.04,True,lérida,Cataluña,0.0,,,0.614,41.81636125,1.59713745
2010,u. de gerona,11.61,11.07,True,gerona,Cataluña,0.0,,,0.54,41.9743792,2.8235429
2010,u. rovira i virgili (reus),11.708,11.142,True,reus,Cataluña,0.0,,,0.566,41.155309,1.1053273
2010,u. de zaragoza (campus huesca),12.059,11.19,True,huesca,Aragón,0.0,,,0.869,42.1414059,-0.4060896
2010,u. autónoma de barcelona,11.59,11.195,True,barcelona,Cataluña,0.0,,,0.395,41.5025932,2.080056
2010,u. de valladolid,12.29,11.204,True,valladolid,Castilla y León,0.0,,,1.086,41.6105937,-4.6916619
2010,u. de cantabria (santander),12.592,11.212,True,santander,Cantabria,0.0,,,1.38,43.4736983,-3.7859174
2010,u. de santiago de compostela,11.8,11.23,True,santiago de compostela,Galicia,0.0,,,0.57,42.88050025,-8.5457602
2010,u. de extremadura (badajoz),12.5,11.236,True,badajoz,Extremadura,0.0,,,1.264,38.8824069,-7.0194457
2010,u. de cádiz,12.12,11.286,True,cádiz,Andalucía,0.0,,,0.834,36.5340199,-6.3018987
2010,u. pompeu fabra (barcelona),11.976,11.328,True,barcelona,Cataluña,0.0,,,0.648,41.37921475,2.17941527
2010,u. de barcelona-clínico,12.04,11.35,True,barcelona,Cataluña,0.0,,,0.69,41.39017434,2.15212588
2010,u. de salamanca,12.564,11.37,True,salamanca,Castilla y León,0.0,,,1.194,40.9666432,-5.6772757
2010,u. de zaragoza (campus zaragoza),12.185,11.39,True,zaragoza,Aragón,0.0,,,0.795,41.6421312,-0.90302271
2010,u. de c-la mancha (campus c.real),12.343,11.478,True,ciudad real,Castilla-La Mancha,0.0,,,0.865,38.9918372,-3.9268263
2010,u. de córdoba,12.295,11.496,True,córdoba,Andalucía,0.0,,,0.799,37.8560421,-4.8134452
2010,u. del país vasco (lejona),11.922,11.503,True,bilbao,País Vasco,0.0,,,0.419,43.3359821,-2.9768285
2010,u. de c-la mancha (campus albacete),12.246,11.53,True,albacete,Castilla-La Mancha,0.0,,,0.716,38.4527362,-2.05363374
2010,u. de sevilla,12.272,11.559,True,sevilla,Andalucía,0.0,,,0.713,37.4128557,-5.9845606
2010,u. miguel hernández (s. juan de alicante),12.216,11.584,True,alicante,C. Valenciana,0.0,,,0.632,38.39896277,-0.43477806
2010,u. de alcalá,11.862,11.631,True,alcalá,C. Madrid,0.0,,,0.231,40.4818396,-3.3644973
2010,u. de málaga,12.225,11.645,True,málaga,Andalucía,0.0,,,0.58,36.7200431,-4.41617939
2010,u. de murcia,12.388,11.666,True,murcia,Murcia,0.0,,,0.722,37.99109245,-1.13010405
2010,u. de la laguna,12.2,11.68,True,la laguna,Canarias,0.0,,,0.52,28.4852475,-16.3126059
2010,urjc - campus alcorcón,11.867,11.7,True,madrid,C. Madrid,0.0,,,0.167,40.3506324,-3.8437926
2010,u. de valencia,12.247,11.732,True,valencia,C. Valenciana,0.0,,,0.515,39.4786642,-0.3627246
2010,u. autónoma de madrid,12.036,11.84,True,madrid,C. Madrid,0.0,,,0.196,40.4832261,-3.6972262
2010,u. de las palmas,12.312,11.849,True,las palmas,Canarias,0.0,,,0.463,28.09055808,-15.41890014
2010,u. de granada,12.503,11.959,True,granada,Andalucía,0.0,,,0.544,37.1474408,-3.6042349
2010,u. complutense de madrid,12.189,12.022,True,madrid,C. Madrid,0.0,,,0.167,40.4437398,-3.72614639
2010,u. de oviedo,12.579,12.088,True,oviedo,Asturias,0.0,,,0.491,43.3533657,-5.8687712
2011,u. de gerona,11.619,11.26,True,gerona,Cataluña,0.0,0.009,0.19,0.359,41.9743792,2.8235429
2011,u. de lérida,11.65,11.316,True,lérida,Cataluña,0.0,-0.004,0.276,0.334,41.81636125,1.59713745
2011,u. del país vasco (lejona),11.747,11.346,True,bilbao,País Vasco,0.0,-0.175,-0.157,0.401,43.3359821,-2.9768285
2011,u. rovira i virgili (reus),11.786,11.406,True,reus,Cataluña,0.0,0.078,0.264,0.38,41.155309,1.1053273
2011,u. autónoma de barcelona,11.726,11.482,True,barcelona,Cataluña,0.0,0.136,0.287,0.244,41.5025932,2.080056
2011,u. de zaragoza (campus huesca),12.02,11.587,True,huesca,Aragón,0.0,-0.039,0.397,0.433,42.1414059,-0.4060896
2011,u. de santiago de compostela,12.014,11.598,True,santiago de compostela,Galicia,0.0,0.214,0.368,0.416,42.88050025,-8.5457602
2011,u. de cantabria (santander),12.437,11.632,True,santander,Cantabria,0.0,-0.155,0.42,0.805,43.4736983,-3.7859174
2011,u. pompeu fabra (barcelona),12.04,11.714,True,barcelona,Cataluña,0.0,0.064,0.386,0.326,41.37921475,2.17941527
2011,u. de zaragoza (campus zaragoza),12.134,11.725,True,zaragoza,Aragón,0.0,-0.051,0.335,0.409,41.6421312,-0.90302271
2011,u. jaume i,12.332,11.73,True,castellon de la plana,C. Valenciana,0.0,,,0.602,39.9899483,-0.0664218
2011,u. de extremadura (badajoz),12.565,11.758,True,badajoz,Extremadura,0.0,0.065,0.522,0.807,38.8824069,-7.0194457
2011,u. de valladolid,12.156,11.79,True,valladolid,Castilla y León,0.0,-0.134,0.586,0.366,41.6105937,-4.6916619
2011,u. de barcelona-clínico,12.158,11.867,True,barcelona,Cataluña,0.0,0.118,0.517,0.291,41.39017434,2.15212588
2011,u. de salamanca,12.2,11.867,True,salamanca,Castilla y León,0.0,-0.364,0.497,0.333,40.9666432,-5.6772757
2011,u. de cádiz,12.366,11.921,True,cádiz,Andalucía,0.0,0.246,0.635,0.445,36.5340199,-6.3018987
2011,u. de c-la mancha (campus albacete),12.36,11.964,True,albacete,Castilla-La Mancha,0.0,0.114,0.434,0.396,38.4527362,-2.05363374
2011,u. de la laguna,12.42,11.977,True,la laguna,Canarias,0.0,0.22,0.297,0.443,28.4852475,-16.3126059
2011,u. de valencia,12.41,11.986,True,valencia,C. Valenciana,0.0,0.163,0.254,0.424,39.4786642,-0.3627246
2011,u. de murcia,12.602,11.987,True,murcia,Murcia,0.0,0.214,0.321,0.615,37.99109245,-1.13010405
2011,u. de sevilla,12.451,12.022,True,sevilla,Andalucía,0.0,0.179,0.463,0.429,37.4128557,-5.9845606
2011,u. miguel hernández (s. juan de alicante),12.52,12.022,True,alicante,C. Valenciana,0.0,0.304,0.438,0.498,38.39896277,-0.43477806
2011,u. de alcalá,12.125,12.023,True,alcalá,C. Madrid,0.0,0.263,0.392,0.102,40.4818396,-3.3644973
2011,u. de c-la mancha (campus c.real),12.4,12.04,True,ciudad real,Castilla-La Mancha,0.0,0.057,0.562,0.36,38.9918372,-3.9268263
2011,urjc - campus alcorcón,12.143,12.064,True,madrid,C. Madrid,0.0,0.276,0.364,0.079,40.3506324,-3.8437926
2011,u. de córdoba,12.556,12.172,True,córdoba,Andalucía,0.0,0.261,0.676,0.384,37.8560421,-4.8134452
2011,u. de las palmas,12.411,12.195,True,las palmas,Canarias,0.0,0.099,0.346,0.216,28.09055808,-15.41890014
2011,u. autónoma de madrid,12.308,12.2,True,madrid,C. Madrid,0.0,0.272,0.36,0.108,40.4832261,-3.6972262
2011,u. de málaga,12.55,12.204,True,málaga,Andalucía,0.0,0.325,0.559,0.346,36.7200431,-4.41617939
2011,u. de oviedo,12.692,12.292,True,oviedo,Asturias,0.0,0.113,0.204,0.4,43.3533657,-5.8687712
2011,u. complutense de madrid,12.469,12.354,True,madrid,C. Madrid,0.0,0.28,0.332,0.115,40.4437398,-3.72614639
2011,u. de granada,12.79,12.36,True,granada,Andalucía,0.0,0.287,0.401,0.43,37.1474408,-3.6042349
2012,u. rovira i virgili (reus),12.02,11.668,True,reus,Cataluña,0.0,0.234,0.262,0.352,41.155309,1.1053273
2012,u. de gerona,11.946,11.672,True,gerona,Cataluña,0.0,0.327,0.412,0.274,41.9743792,2.8235429
2012,u. de lérida,11.944,11.68,True,lérida,Cataluña,0.0,0.294,0.364,0.264,41.81636125,1.59713745
2012,u. autónoma de barcelona,12.022,11.765,True,barcelona,Cataluña,0.0,0.296,0.283,0.257,41.5025932,2.080056
2012,u. de santiago de compostela,12.179,11.78,True,santiago de compostela,Galicia,0.0,0.165,0.182,0.399,42.88050025,-8.5457602
2012,u. de zaragoza (campus huesca),12.268,11.796,True,huesca,Aragón,0.0,0.248,0.209,0.472,42.1414059,-0.4060896
2012,u. de barcelona-clínico,12.332,11.8,True,barcelona,Cataluña,0.0,0.174,-0.067,0.532,41.39017434,2.15212588
2012,u. pompeu fabra (barcelona),12.242,11.808,True,barcelona,Cataluña,0.0,0.202,0.094,0.434,41.37921475,2.17941527
2012,u. de cantabria (santander),12.504,11.81,True,santander,Cantabria,0.0,0.067,0.178,0.694,43.4736983,-3.7859174
2012,u. del país vasco (lejona),12.119,11.83,True,bilbao,País Vasco,0.0,0.372,0.484,0.289,43.3359821,-2.9768285
2012,u. de valladolid,12.31,11.872,True,valladolid,Castilla y León,0.0,0.154,0.082,0.438,41.6105937,-4.6916619
2012,u. de zaragoza (campus zaragoza),12.376,11.906,True,zaragoza,Aragón,0.0,0.242,0.181,0.47,41.6421312,-0.90302271
2012,u. jaume i,12.44,11.944,True,castellon de la plana,C. Valenciana,0.0,0.108,0.214,0.496,39.9899483,-0.0664218
2012,u. de extremadura (badajoz),12.4,11.95,True,badajoz,Extremadura,0.0,-0.165,0.192,0.45,38.8824069,-7.0194457
2012,u. de salamanca,12.37,11.957,True,salamanca,Castilla y León,0.0,0.17,0.09,0.413,40.9666432,-5.6772757
2012,u. de cádiz,12.424,12.01,True,cádiz,Andalucía,0.0,0.058,0.089,0.414,36.5340199,-6.3018987
2012,u. de la laguna,12.57,12.053,True,la laguna,Canarias,0.0,0.15,0.076,0.517,28.4852475,-16.3126059
2012,u. de c-la mancha (campus c.real),12.458,12.068,True,ciudad real,Castilla-La Mancha,0.0,0.058,0.028,0.39,38.9918372,-3.9268263
2012,urjc - campus alcorcón,12.189,12.107,True,madrid,C. Madrid,0.0,0.046,0.043,0.082,40.3506324,-3.8437926
2012,u. de c-la mancha (campus albacete),12.456,12.115,True,albacete,Castilla-La Mancha,0.0,0.096,0.151,0.341,38.4527362,-2.05363374
2012,u. miguel hernández (s. juan de alicante),12.526,12.131,True,alicante,C. Valenciana,0.0,0.006,0.109,0.395,38.39896277,-0.43477806
2012,u. de sevilla,12.503,12.136,True,sevilla,Andalucía,0.0,0.052,0.114,0.367,37.4128557,-5.9845606
2012,u. de alcalá,12.229,12.178,True,alcalá,C. Madrid,0.0,0.104,0.155,0.051,40.4818396,-3.3644973
2012,u. de las palmas,12.429,12.178,True,las palmas,Canarias,0.0,0.018,-0.017,0.251,28.09055808,-15.41890014
2012,u. de valencia,12.546,12.182,True,valencia,C. Valenciana,0.0,0.136,0.196,0.364,39.4786642,-0.3627246
2012,u. de córdoba,12.555,12.196,True,córdoba,Andalucía,0.0,-0.001,0.024,0.359,37.8560421,-4.8134452
2012,u. de málaga,12.554,12.197,True,málaga,Andalucía,0.0,0.004,-0.007,0.357,36.7200431,-4.41617939
2012,u. de oviedo,12.692,12.226,True,oviedo,Asturias,0.0,0.0,-0.066,0.466,43.3533657,-5.8687712
2012,u. de murcia,12.808,12.29,True,murcia,Murcia,0.0,0.206,0.303,0.518,37.99109245,-1.13010405
2012,u. autónoma de madrid,12.424,12.3,True,madrid,C. Madrid,0.0,0.116,0.1,0.124,40.4832261,-3.6972262
2012,u. de granada,12.822,12.449,True,granada,Andalucía,0.0,0.032,0.089,0.373,37.1474408,-3.6042349
2012,u. complutense de madrid,12.499,12.499,True,madrid,C. Madrid,0.0,0.03,0.145,0.0,40.4437398,-3.72614639
2013,u. de lérida,12.0,11.73,True,lérida,Cataluña,0.0,0.056,0.05,0.27,41.81636125,1.59713745
2013,u. rovira i virgili (reus),12.013,11.752,True,reus,Cataluña,0.0,-0.007,0.084,0.261,41.155309,1.1053273
2013,u. de gerona,11.99,11.753,True,gerona,Cataluña,0.0,0.044,0.081,0.237,41.9743792,2.8235429
2013,u. autónoma de barcelona,12.086,11.851,True,barcelona,Cataluña,0.0,0.064,0.086,0.235,41.5025932,2.080056
2013,u. de zaragoza (campus huesca),12.352,11.852,True,huesca,Aragón,0.0,0.084,0.056,0.5,42.1414059,-0.4060896
2013,u. de cantabria (santander),12.54,11.892,True,santander,Cantabria,0.0,0.036,0.082,0.648,43.4736983,-3.7859174
2013,u. pompeu fabra (barcelona),12.342,11.9,True,barcelona,Cataluña,0.0,0.1,0.092,0.442,41.37921475,2.17941527
2013,u. de zaragoza (campus zaragoza),12.425,11.905,True,zaragoza,Aragón,0.0,0.049,-0.001,0.52,41.6421312,-0.90302271
2013,u. de valladolid,12.325,11.912,True,valladolid,Castilla y León,0.0,0.015,0.04,0.413,41.6105937,-4.6916619
2013,u. del país vasco (lejona),12.079,11.914,True,bilbao,País Vasco,0.0,-0.04,0.084,0.165,43.3359821,-2.9768285
2013,u. jaume i,12.334,11.931,True,castellon de la plana,C. Valenciana,0.0,-0.106,-0.013,0.403,39.9899483,-0.0664218
2013,u. de santiago de compostela,12.268,11.951,True,santiago de compostela,Galicia,0.0,0.089,0.171,0.317,42.88050025,-8.5457602
2013,u. de salamanca,12.381,11.999,True,salamanca,Castilla y León,0.0,0.011,0.042,0.382,40.9666432,-5.6772757
2013,u. de extremadura (badajoz),12.452,12.028,True,badajoz,Extremadura,0.0,0.052,0.078,0.424,38.8824069,-7.0194457
2013,u. de cádiz,12.455,12.056,True,cádiz,Andalucía,0.0,0.031,0.046,0.399,36.5340199,-6.3018987
2013,u. de barcelona-clínico,12.408,12.089,True,barcelona,Cataluña,0.0,0.076,0.289,0.319,41.39017434,2.15212588
2013,u. de c-la mancha (campus c.real),12.505,12.1,True,ciudad real,Castilla-La Mancha,0.0,0.047,0.032,0.405,38.9918372,-3.9268263
2013,u. de alcalá,12.396,12.1,True,alcalá,C. Madrid,0.0,0.167,-0.078,0.296,40.4818396,-3.3644973
2013,u. miguel hernández (s. juan de alicante),12.43,12.103,True,alicante,C. Valenciana,0.0,-0.096,-0.028,0.327,38.39896277,-0.43477806
2013,u. de la laguna,12.48,12.123,True,la laguna,Canarias,0.0,-0.09,0.07,0.357,28.4852475,-16.3126059
