Notas de corte de Medicina,"Última fecha de admisión 
(Fecha de la nota final)",Nota de corte final de Medicina,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª lista,Sobre 10,20ª lista,Sobre 10
Universidad de Lérida,8/11/2010,"11,04","11,654","8,324","11,296","8,069","11,249","8,035","11,21","8,007","11,04","7,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Gerona,8/11/2010,"11,07","11,61","8,293","11,305","8,075","11,259","8,042","11,22","8,014","11,07","7,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Rovira i Virgili (Reus),8/11/2010,"11,142","11,708","8,363","11,334","8,096","11,33","8,093","11,22","8,014","11,142","7,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Zaragoza - Campus de Huesca,7/12/2010,"11,19","12,059","8,614","11,975","8,554","11,88","8,486","11,767","8,405","11,713","8,366","11,651","8,322","11,6","8,286","11,585","8,275","11,479","8,199","11,33","8,093","11,276","8,054","11,24","8,029","11,227","8,019","11,222","8,016","11,216","8,011","11,211","8,008","11,203","8,002","11,203","8,002","11,196","7,997","11,19","7,993"
Universidad Autónoma de Barcelona,8/11/2010,"11,195","11,59","8,279","11,34","8,1","11,304","8,074","11,304","8,074","11,195","7,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valladolid,15/11/2010,"11,204","12,29","8,779","11,996","8,569","11,768","8,406","11,504","8,217","11,484","8,203","11,204","8,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Cantabria (Santander),29/10/2010,"11,212","12,592","8,994","12,34","8,814","12,17","8,693","12,035","8,596","11,722","8,373","11,416","8,154","11,314","8,081","11,306","8,076","11,212","8,009",,,,,,,,,,,,,,,,,,,,,,
Universidad de Santiago de Compostela,19/10/2010,"11,23","11,8","8,429","11,578","8,27","11,47","8,193","11,41","8,15","11,35","8,107","11,238","8,027","11,238","8,027","11,23","8,021",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Extremadura (Badajoz),20/10/2010,"11,236","12,5","8,929","12,21","8,721","12,05","8,607","11,975","8,554","11,332","8,094","11,33","8,093","11,32","8,086","11,308","8,077","11,296","8,069","11,261","8,044","11,236","8,026",,,,,,,,,,,,,,,,,,
Universidad de Cádiz,6/11/2010,"11,286","12,12","8,657","11,975","8,554","11,757","8,398","11,552","8,251","11,469","8,192","11,416","8,154","11,353","8,109","11,333","8,095","11,32","8,086","11,3","8,071","11,286","8,061",,,,,,,,,,,,,,,,,,
Universidad Pompeu Fabra (Barcelona),1/10/2010,"11,328","11,976","8,554","11,536","8,24","11,5","8,214","11,328","8,091","11,328","8,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona,1/10/2010,"11,35","12,04","8,6","11,631","8,308","11,524","8,231","11,35","8,107","11,35","8,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Salamanca,20/10/2010,"11,37","12,564","8,974","12,23","8,736","12,106","8,647","11,672","8,337","11,595","8,282","11,37","8,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Zaragoza - Campus de Zaragoza,24/11/2010 (Actualizada 12/1/11),"11,39","12,185","8,704","11,966","8,547","11,9","8,5","11,824","8,446","11,791","8,422","11,759","8,399","11,708","8,363","11,68","8,343","11,635","8,311","11,564","8,26","11,538","8,241","11,464","8,189","11,451","8,179","11,451","8,179","11,436","8,169","11,436","8,169","11,43","8,164","11,415","8,153","11,394","8,139","11,39","8,136"
Universidad de CLM- Campus de Ciudad Real,18/10/2010,"11,478","12,343","8,816","11,971","8,551","11,885","8,489","11,478","8,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Córdoba,6/11/2010,"11,496","12,295","8,782","12,136","8,669","11,841","8,458","11,623","8,302","11,626","8,304","11,62","8,3","11,568","8,263","11,549","8,249","11,549","8,249","11,53","8,236","11,496","8,211",,,,,,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),24/07/2010,"11,503","11,922","8,516","11,726","8,376","11,503","8,216","11,503","8,216","11,503","8,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de CLM- Campus de Albacete,3/11/2010,"11,53","12,246","8,747","12,082","8,63",12,"8,571","11,53","8,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
