Notas de corte de Medicina,Fecha de última admisión,Nota de corte final,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10
Universidad de Gerona,4/08/2011,"11,26","11,619","8,299","11,26","8,043","11,26","8,043","11,26","8,043","11,26","8,043",,,,,,,,,,,,,,
Universidad de Lérida,29/09/2011,"11,316","11,65","8,321","11,386","8,133","11,357","8,112","11,342","8,101","11,316","8,083",,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),29/07/2011,"11,346","11,747","8,39","11,44","8,171","11,346","8,104","11,346","8,104","11,346","8,104","11,346","8,104","11,346","8,104",,,,,,,,,,
Universidad Rovira i Virgili (Reus),4/08/2011,"11,406","11,786","8,419","11,406","8,147","11,406","8,147","11,406","8,147","11,406","8,147",,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,14/09/2011,"11,482","11,726","8,375","11,5","8,214","11,482","8,201","11,482","8,201","11,482","8,201",,,,,,,,,,,,,,
Universidad de Zaragoza - Campus de Huesca,16/11/2011,"11,587","12,02","8,586","11,867","8,476","11,79","8,421","11,711","8,365","11,68","8,343","11,649","8,321","11,63","8,307","11,614","8,296","11,6","8,286","11,59","8,279","11,59","8,279","11,587","8,276"
Universidad de Santiago de Compostela,7/10/2011,"11,598","12,014","8,581","11,686","8,347","11,686","8,347","11,686","8,347","11,686","8,347","11,686","8,347","11,598","8,284","11,598","8,284",,,,,,,,
Universidad de Cantabria (Santander),11/10/2011,"11,632","12,437","8,884","12,176","8,697","12,05","8,607",12,"8,571","11,906","8,504","11,826","8,447","11,756","8,397","11,71","8,364","11,697","8,355","11,632","8,309",,,,
Universidad Pompeu Fabra (Barcelona),4/08/2011,"11,714","12,04","8,6","11,714","8,367","11,714","8,367","11,714","8,367",,,,,,,,,,,,,,,,
Universidad de Zaragoza - Campus de Zaragoza,17/11/2011,"11,725","12,134","8,667","11,921","8,515","11,841","8,458","11,772","8,409","11,772","8,409","11,758","8,399","11,736","8,383","11,736","8,383","11,736","8,383","11,729","8,378","11,729","8,378","11,725","8,375"
Universidad de Jaume I,13/10/2011,"11,73","12,332","8,809","12,132","8,666","11,925","8,518","11,813","8,438","11,785","8,418","11,73","8,379",,,,,,,,,,,,
Universidad de Extremadura (Badajoz),10/10/2011,"11,758","12,565","8,975","12,304","8,789","12,117","8,655","12,004","8,574","11,931","8,522","11,794","8,424","11,774","8,41","11,76","8,4","11,758","8,399",,,,,,
Universidad de Valladolid,6/11/2011,"11,79","12,156","8,683","11,994","8,567","11,922","8,516","11,906","8,504","11,832","8,451","11,79","8,421",,,,,,,,,,,,
Universidad de Barcelona,14/09/2011,"11,867","12,158","8,684","11,908","8,506","11,867","8,476","11,867","8,476",,,,,,,,,,,,,,,,
Universidad de Salamanca,11/10/2011,"11,867","12,2","8,714","12,142","8,673","12,061","8,615","11,921","8,515","11,894","8,496","11,867","8,476",,,,,,,,,,,,
Universidad de Cádiz,31/10/2011,"11,921","12,366","8,832","12,204","8,717","12,046","8,604","11,994","8,567","11,962","8,544","11,948","8,534","11,94","8,529","11,938","8,527","11,936","8,526","11,926","8,519","11,921","8,515","11,921","8,515"
Universidad de CLM- Campus de Albacete,21/11/2011,"11,964","12,36","8,828","12,229","8,735","12,178","8,699","12,064","8,617","11,964","8,546",,,,,,,,,,,,,,
Universidad de La Laguna,16/09/2011,"11,977","12,42","8,871","12,26","8,757","12,12","8,657","11,977","8,555",,,,,,,,,,,,,,,,
Universidad de Valencia,7/10/2011,"11,986","12,41","8,864","12,08","8,629","12,07","8,621","12,022","8,587","11,986","8,561",,,,,,,,,,,,,,
Universidad de Murcia,25/10/2011,"11,987","12,602","9,001","12,411","8,865","12,271","8,765","12,07","8,621","11,987","8,562",,,,,,,,,,,,,,
Universidad de Sevilla,24/10/2011,"12,022","12,451","8,893","12,279","8,771","12,15","8,679","12,093","8,638","12,056","8,611","12,023","8,588","12,023","8,588","12,023","8,588","12,023","8,588","12,022","8,587","12,022","8,587","12,022","8,587"
Universidad Miguel Hernández (San Juan de Alicante),6/10/2011,"12,022","12,52","8,943","12,219","8,728","12,022","8,587",,,,,,,,,,,,,,,,,,
Universidad de Alcalá,20/09/2011,"12,023","12,125","8,661","12,11","8,65","12,049","8,606","12,023","8,588","12,023","8,588",,,,,,,,,,,,,,
Universidad de CLM- Campus de Ciudad Real,28/09/2011,"12,04","12,4","8,857","12,063","8,629","12,063","8,629","12,063","8,629","12,04","8,6",,,,,,,,,,,,,,
Universidad Rey Juan Carlos - Campus de Alcorcón,13/09/2011,"12,064","12,143","8,674","12,064","8,617",,,,,,,,,,,,,,,,,,,,
Universidad de Córdoba,7/11/2011,"12,172","12,556","8,968","12,328","8,806","12,229","8,735","12,229","8,735","12,229","8,735","12,229","8,735","12,229","8,735","12,229","8,735","12,229","8,735","12,197","8,712","12,196","8,711","12,172","8,694"
Universidad de Las Palmas,3/08/2011,"12,195","12,411","8,865","12,195","8,711","12,195","8,711","12,195","8,711","12,195","8,711",,,,,,,,,,,,,,
Universidad Autónoma de Madrid,3/08/2011,"12,2","12,308","8,791","12,23","8,736","12,2","8,714",,,,,,,,,,,,,,,,,,
Universidad de Málaga,19/09/2011,"12,204","12,55","8,964","12,353","8,824","12,257","8,755","12,234","8,739","12,204","8,717","12,204","8,717","12,204","8,717","12,204","8,717","12,204","8,717","12,204","8,717","12,204","8,717","12,204","8,717"
Universidad de Oviedo,12/09/2011,"12,292","12,692","9,065","12,49","8,921","12,432","8,88","12,36","8,829","12,356","8,826","12,354","8,824","12,354","8,824","12,354","8,824","12,292","8,779",,,,,,
Universidad Complutense de Madrid,11/10/2011,"12,354","12,469","8,906","12,383","8,845","12,366","8,833","12,366","8,833","12,366","8,833","12,354","8,824",,,,,,,,,,,,
Universidad de Granada,12/09/2011,"12,36","12,79","9,135","12,61","9,007","12,468","8,906","12,36","8,829","12,36","8,829","12,36","8,829","12,36","8,829","12,36","8,829","12,36","8,829","12,36","8,829","12,36","8,829","12,36","8,829"
