Facultad de Medicina,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10
Universidad de Lérida,20/10/2014,"11,907","12,044","8,603","11,984","8,560","11,934","8,524","11,928","8,520","11,919","8,514","11,919","8,514","11,909","8,506","11,907","8,505","11,907","8,505",,,,,,,,,,,,,,,,,,,,
Universidad de Gerona,20/10/2014,"11,919","12,058","8,613","11,988","8,563","11,949","8,535","11,949","8,535","11,949","8,535","11,949","8,535","11,936","8,526","11,919","8,514","11,919","8,514",,,,,,,,,,,,,,,,,,,,
Universidad Rovira i Virgili (Reus),13/10/2014,"11,968","12,042","8,601","11,979","8,556","11,979","8,556","11,979","8,556","11,979","8,556","11,979","8,556","11,968","8,549","11,968","8,549","11,968","8,549",,,,,,,,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),18/09/2014,"12,023","12,111","8,651","12,07","8,621","12,025","8,589","12,025","8,589","12,025","8,589","12,023","8,588",,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Huesca),26/11/2015,"12,032","12,276","8,769","12,125","8,661","12,114","8,653","12,109","8,649","12,108","8,649","12,066","8,619","12,053","8,609","12,042","8,601","12,04","8,600","12,04","8,600","12,036","8,597","12,034","8,596","12,032","8,594",,,,,,,,,,,,
Universidad Autónoma de Barcelona,10/10/2014,"12,063","12,152","8,680","12,125","8,661","12,106","8,647","12,078","8,627","12,07","8,621","12,063","8,616","12,063","8,616","12,063","8,616","12,063","8,616",,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Zaragoza),13/11/2015,"12,053","12,4","8,857","12,15","8,679","12,15","8,679","12,15","8,679","12,15","8,679","12,135","8,668","12,116","8,654","12,108","8,649","12,09","8,636","12,09","8,636","12,066","8,619","12,053","8,609",,,,,,,,,,,,,,
U. de Cantabria (Santander),7/10/2014,"12,068","12,54","8,957","12,41","8,864",,,"12,266","8,761","12,176","8,697","12,112","8,651","12,101","8,644","12,068","8,620",,,,,,,,,,,,,,,,,,,,,,
Universidad de Valladolid,10/12/2014,"12,09","12,312","8,794","12,194","8,710","12,176","8,697","12,148","8,677","12,133","8,666","12,128","8,663","12,115","8,654","12,097","8,641","12,09","8,636",,,,,,,,,,,,,,,,,,,,
U. de Santiago de Compostela,1/10/2014,"12,102","12,332","8,809","12,134","8,667","12,134","8,667","12,134","8,667","12,102","8,644","12,102","8,644",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Salamanca,10/10/2014,"12,107","12,413","8,866","12,286","8,776","12,253","8,752","12,24","8,743","12,215","8,725","12,111","8,651","12,107","8,648",,,,,,,,,,,,,,,,,,,,,,,,
Universidad Jaume I,3/11/2014,"12,118","12,422","8,873","12,32","8,800","12,248","8,749","12,225","8,732","12,215","8,725","12,204","8,717","12,17","8,693","12,168","8,691","12,118","8,656",,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus C.Real),24/07/2014,"12,156","12,53","8,950","12,156","8,683","12,156","8,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus Albacete),14/10/2014,"12,19","12,56","8,971","12,38","8,843","12,31","8,793","12,299","8,785","12,19","8,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,
URJC - Campus Alcorcón,18/09/2014,"12,285","12,382","8,844","12,285","8,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Pompeu Fabra (Barcelona),24/07/2014,"12,288","12,356","8,826","12,288","8,777","12,288","8,777","12,288","8,777","12,288","8,777","12,288","8,777","12,288","8,777","12,288","8,777","12,288","8,777",,,,,,,,,,,,,,,,,,,,
U. Miguel Hernández (S. Juan de Alicante),8/10/2014,"12,304","12,514","8,939","12,402","8,859","12,387","8,848","12,373","8,838","12,36","8,829","12,344","8,817","12,338","8,813","12,324","8,803","12,304","8,789",,,,,,,,,,,,,,,,,,,,
U. de Extremadura (Badajoz),29/07/2014,"12,306","12,682","9,059","12,418","8,870","12,304","8,789","12,304","8,789","12,304","8,789","12,306","8,790",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Cádiz,20/10/2014,"12,35","12,603","9,002","12,506","8,933","12,44","8,886","12,44","8,886","12,398","8,856","12,387","8,848","12,374","8,839","12,36","8,829","12,354","8,824","12,35","8,821","12,35","8,821","12,35","8,821",,,,,,,,,,,,,,
Universidad de Valencia,9/09/2014,"12,356","12,656","9,040","12,428","8,877","12,39","8,850","12,388","8,849","12,356","8,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Alcalá,25/09/2014,"12,376","12,422","8,873","12,404","8,860","12,382","8,844","12,376","8,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Murcia,2/09/2014,"12,389","12,854","9,181","12,639","9,028","12,528","8,949","12,403","8,859","12,389","8,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona,3/09/2014,"12,394","12,46","8,900","12,442","8,887","12,394","8,853","12,394","8,853","12,394","8,853","12,394","8,853","12,394","8,853","12,394","8,853","12,394","8,853",,,,,,,,,,,,,,,,,,,,
Universidad de Oviedo,27/08/2014 (Admisión posterior a listado de 27/8),"12,408","12,692","9,066","12,514","8,939","12,47","8,907","12,441","8,886","12,414","8,867","12,414","8,867","12,408","8,863",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Sevilla,13/10/2014,"12,44","12,653","9,038","12,557","8,969","12,51","8,936","12,464","8,903","12,453","8,895","12,448","8,891","12,445","8,889","12,444","8,889","12,44","8,886","12,44","8,886","12,44","8,886","12,44","8,886",,,,,,,,,,,,,,
Universidad de Córdoba,3/11/2014,"12,466","12,683","9,059","12,545","8,961","12,478","8,913","12,471","8,908","12,471","8,908","12,471","8,908","12,471","8,908","12,471","8,908","12,471","8,908","12,471","8,908","12,47","8,907","12,466","8,904",,,,,,,,,,,,,,
Universidad de Málaga,13/10/2014,"12,473","12,72","9,086","12,614","9,010","12,564","8,974","12,519","8,942","12,515","8,939","12,487","8,919","12,475","8,911","12,475","8,911","12,473","8,909","12,473","8,909","12,473","8,909","12,473","8,909",,,,,,,,,,,,,,
Universidad de Las Palmas,10/11/2014,"12,509","12,78","9,129","12,55","8,964","12,55","8,964","12,55","8,964","12,55","8,964","12,509","8,935",,,,,,,,,,,,,,,,,,,,,,,,,,
U. Autónoma de Madrid,29/07/2014,"12,558","12,652","9,037","12,586","8,990","12,558","8,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de La Laguna,23/07/2014,"12,58","12,793","9,138","12,705","9,075","12,58","8,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Complutense de Madrid,18/07/2014,"12,615","12,617","9,012","12,615","9,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Granada,19/09/2014,"12,697","12,933","9,238","12,792","9,137","12,756","9,111","12,743","9,102","12,717","9,084","12,697","9,069","12,697","9,069","12,697","9,069","12,697","9,069","12,697","9,069","12,697","9,069","12,697","9,069",,,,,,,,,,,,,,
Nota promedio,,"12,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
