Facultad de Medicina,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10,20ª Lista,Sobre 10,21ª Lista,Sobre 10,22ª Lista,Sobre 10
Universidad Rovira i Virgili (Reus),2/11/2017,"12,080","12,346","8,819","12,258","8,756","12,258","8,756","12,258","8,756","12,240","8,743","12,231","8,736","12,190","8,707","12,140","8,671","12,140","8,671","12,080","8,629",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Lérida,26/10/2017,"12,110","12,311","8,794","12,290","8,779","12,251","8,751","12,228","8,734","12,196","8,711","12,184","8,703","12,156","8,683","12,122","8,659","12,110","8,650","12,110","8,650",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de las Islas Baleares,25/10/2017,"12,112","12,744","9,103","12,552","8,966","12,446","8,890","12,362","8,830","12,316","8,797","12,281","8,772","12,245","8,746","12,224","8,731","12,219","8,728","12,207","8,719","12,193","8,709","12,112","8,651",,,,,,,,,,,,,,,,,,,,
Universidad de Gerona,23/10/2017,"12,140","12,310","8,793","12,260","8,757","12,250","8,750","12,234","8,739","12,220","8,729","12,200","8,714","12,175","8,696","12,140","8,671","12,140","8,671","12,140","8,671",,,,,,,,,,,,,,,,,,,,,,,,
U. de Cantabria (Santander),31/10/2017,"12,183","12,708","9,077","12,585","8,989","12,539","8,956","12,509","8,935","12,441","8,886","12,386","8,847","12,305","8,789","12,233","8,738","12,215","8,725","12,183","8,702",,,,,,,,,,,,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,23/10/2017,"12,202","12,365","8,832","12,365","8,832","12,280","8,771","12,264","8,760","12,250","8,750","12,240","8,743","12,223","8,731","12,202","8,716","12,202","8,716","12,202","8,716",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valladolid,27/10/2017,"12,210","12,565","8,975","12,496","8,926","12,450","8,893","12,425","8,875","12,400","8,857","12,372","8,837","12,351","8,822","12,325","8,804","12,302","8,787","12,286","8,776","12,260","8,757","12,240","8,743","12,210","8,721",,,,,,,,,,,,,,,,,,
U. de Extremadura (Badajoz),9/11/2017,"12,236","12,906","9,219","12,720","9,086","12,597","8,998","12,539","8,956","12,426","8,876","12,398","8,856","12,386","8,847","12,382","8,844","12,380","8,843","12,368","8,834","12,349","8,821","12,342","8,816","12,333","8,809","12,320","8,800","12,315","8,796","12,305","8,789","12,290","8,779","12,279","8,771","12,260","8,757","12,258","8,756","12,250","8,750","12,236","8,740"
U. de Santiago de Compostela,17/10/2017,"12,286","12,575","8,982","12,481","8,915","12,450","8,893","12,402","8,859","12,402","8,859","12,340","8,814","12,296","8,783","12,286","8,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Huesca),23/11/2017,"12,301","12,589","8,992","12,463","8,902","12,435","8,882","12,419","8,871","12,390","8,850","12,372","8,837","12,301","8,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
