Facultad de Medicina,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10,20ª Lista,Sobre 10,21ª Lista,Sobre 10,22ª Lista,Sobre 10,23ª Lista,Sobre 10
Universidad de las Islas Baleares,2/11/2018,"12,120","12,568","8,977","12,272","8,766","12,200","8,714","12,192","8,709","12,190","8,707","12,181","8,701","12,120","8,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Lérida,16/10/2018,"12,128","12,264","8,760","12,226","8,733","12,188","8,706","12,175","8,696","12,170","8,693","12,160","8,686","12,128","8,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Rovira i Virgili (Reus),16/10/2018,"12,130","12,362","8,830","12,233","8,738","12,233","8,738","12,222","8,730","12,194","8,710","12,176","8,697","12,130","8,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Gerona,18/09/2018,"12,170","12,258","8,756","12,258","8,756","12,200","8,714","12,186","8,704","12,170","8,693","12,170","8,693","12,170","8,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,16/10/2018,"12,253","12,334","8,810","12,280","8,771","12,260","8,757","12,260","8,757","12,260","8,757","12,260","8,757","12,253","8,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Cantabria (Santander),12/11/2018,"12,324","12,680","9,057","12,547","8,962","12,520","8,943","12,494","8,924","12,453","8,895","12,420","8,871","12,390","8,850","12,355","8,825","12,335","8,811","12,324","8,803",,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),25/07/2018,"12,332","12,407","8,862","12,333","8,809","12,332","8,809","12,332","8,809","12,332","8,809","12,332","8,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Santiago de Compostela,24/09/2018,"12,340","12,531","8,951","12,416","8,869","12,388","8,849","12,388","8,849","12,388","8,849","12,388","8,849","12,340","8,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valladolid,9/01/2019,"12,370","12,606","9,004","12,586","8,990","12,549","8,964","12,531","8,951","12,508","8,934","12,479","8,914","12,448","8,891","12,433","8,881","12,428","8,877","12,423","8,874","12,419","8,871","12,413","8,866","12,407","8,862","12,407","8,862","12,400","8,857","12,400","8,857","12,398","8,856","12,394","8,853","12,391","8,851","12,385","8,846","12,380","8,843","12,375","8,839","12,370","8,836"
U. de Zaragoza (Campus Huesca),7/12/2018,"12,379","12,610","9,007","12,528","8,949","12,511","8,936","12,495","8,925","12,467","8,905","12,453","8,895","12,441","8,886","12,410","8,864","12,402","8,859","12,402","8,859","12,402","8,859","12,400","8,857","12,400","8,857","12,384","8,846","12,384","8,846","12,379","8,842",,,,,,,,,,,,,,
U. de Extremadura (Badajoz),16/11/2018,"12,386","12,981","9,272","12,748","9,106","12,635","9,025","12,593","8,995","12,531","8,951","12,511","8,936","12,472","8,909","12,461","8,901","12,440","8,886","12,433","8,881","12,425","8,875","12,420","8,871","12,416","8,869","12,410","8,864","12,395","8,854","12,395","8,854","12,386","8,847",,,,,,,,,,,,
Universidad de Salamanca,19/11/2018,"12,386","12,668","9,049","12,668","9,049","12,654","9,039","12,455","8,896","12,446","8,890","12,386","8,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Pompeu Fabra (Barcelona),16/10/2018,"12,396","12,704","9,074","12,626","9,019","12,495","8,925","12,447","8,891","12,419","8,871","12,396","8,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus C.Real),6/11/2018,"12,410","12,818","9,156","12,700","9,071","12,657","9,041","12,567","8,976","12,546","8,961","12,410","8,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Cádiz,22/10/2018,"12,451","12,801","9,144","12,656","9,040","12,610","9,007","12,545","8,961","12,515","8,939","12,502","8,930","12,491","8,922","12,481","8,915","12,472","8,909","12,451","8,894","12,457","8,898",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Oviedo,16/11/2018,"12,456","12,828","9,163","12,643","9,031","12,532","8,951","12,532","8,951","12,498","8,927","12,484","8,917","12,484","8,917","12,472","8,909","12,472","8,909","12,472","8,909","12,456","8,897",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona,18/09/2018,"12,475","12,641","9,029","12,550","8,964","12,530","8,950","12,516","8,940","12,475","8,911","12,475","8,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de La Laguna,22/10/2018,"12,491","12,859","9,185","12,656","9,040","12,547","8,962","12,491","8,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Zaragoza),29/11/2018,"12,511","12,732","9,094","12,653","9,038","12,582","8,987","12,550","8,964","12,538","8,956","12,522","8,944","12,522","8,944","12,520","8,943","12,520","8,943","12,520","8,943","12,520","8,943","12,520","8,943","12,520","8,943","12,520","8,943","12,511","8,936",,,,,,,,,,,,,,,,
Universidad de Córdoba,29/10/2018,"12,555","12,842","9,173","12,690","9,064","12,646","9,033","12,598","8,999","12,579","8,985","12,579","8,985","12,573","8,981","12,570","8,979","12,558","8,970","12,556","8,969","12,555","8,968",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Murcia,10/10/2018,"12,605","13,017","9,298","12,831","9,165","12,735","9,096","12,663","9,045","12,605","9,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Málaga,29/10/2018,"12,612","12,870","9,193","12,736","9,097","12,710","9,079","12,660","9,043","12,623","9,016","12,623","9,016","12,623","9,016","12,621","9,015","12,621","9,015","12,621","9,015","12,612","9,009",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Las Palmas,26/09/2018,"12,625","12,859","9,185","12,715","9,082","12,715","9,082","12,715","9,082","12,625","9,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Jaume I,29/10/2018,"12,628","12,948","9,249","12,868","9,191","12,780","9,129","12,702","9,073","12,674","9,053","12,674","9,053","12,672","9,051","12,657","9,041","12,628","9,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Granada,8/10/2018,"12,671","13,015","9,296","12,800","9,143","12,757","9,112","12,731","9,094","12,718","9,084","12,695","9,068","12,695","9,068","12,671","9,051","12,671","9,051","12,671","9,051",,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus Albacete),1/10/2018,"12,674","12,918","9,227","12,785","9,132","12,770","9,121","12,770","9,121","12,742","9,101","12,674","9,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Sevilla,8/10/2018,"12,723","12,926","9,233","12,778","9,127","12,754","9,110","12,735","9,096","12,735","9,096","12,735","9,096","12,735","9,096","12,723","9,088","12,723","9,088","12,723","9,088",,,,,,,,,,,,,,,,,,,,,,,,,,
URJC - Campus Alcorcón,27/07/2018,"12,746","12,792","9,137","12,746","9,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Miguel Hernández (S. Juan de Alicante),18/09/2018,"12,766","13,026","9,304","12,902","9,216","12,883","9,202","12,846","9,176","12,838","9,170","12,814","9,153","12,786","9,133","12,766","9,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Alcalá,13/07/2018,"12,811","12,811","9,151","12,811","9,151","12,811","9,151","12,811","9,151","12,811","9,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valencia,26/09/2018,"12,812","13,058","9,327","12,908","9,220","12,835","9,168","12,835","9,168","12,812","9,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Autónoma de Madrid,26/07/2018,"12,936","13,124","9,374","12,965","9,261","12,936","9,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,
Universidad Complutense de Madrid,13/07/2018,"12,966","12,966","9,261","12,966","9,261","12,966","9,261","12,966","9,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota promedio,,"12,504","12,752",,"12,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desviación típica,,"0,224","0,232",,"0,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
