Universidad,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10
Universidad de Lérida,11/10/2019,"12,180","12,293","8,781","12,238","8,741","12,204","8,717","12,195","8,711","12,188","8,706","12,188","8,706","12,183","8,702","12,180","8,700","12,180","8,700",,,,,,,,,,,,,,
Universidad Rovira i Virgili (Reus),11/10/2019,"12,182","12,329","8,806","12,234","8,739","12,234","8,739","12,222","8,730","12,222","8,730","12,194","8,710","12,188","8,706","12,182","8,701","12,182","8,701",,,,,,,,,,,,,,
Universidad de Gerona,3/09/2019,"12,197","12,275","8,768","12,222","8,730","12,197","8,712","12,197","8,712","12,197","8,712","12,197","8,712","12,197","8,712","12,197","8,712","12,197","8,712",,,,,,,,,,,,,,
Universidad de las Islas Baleares,26/10/2019,"12,209","12,622","9,016","12,396","8,854","12,327","8,805","12,310","8,793","12,302","8,787","12,296","8,783","12,284","8,774","12,209","8,721",,,,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,24/07/2019,"12,300","12,314","8,796","12,300","8,786","12,300","8,786","12,300","8,786","12,300","8,786","12,300","8,786","12,300","8,786","12,300","8,786",,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Huesca),7/11/2019,"12,354","12,624","9,017","12,539","8,956","12,518","8,941","12,506","8,933","12,494","8,924","12,482","8,916","12,441","8,886","12,415","8,868","12,412","8,866","12,4","8,857","12,367","8,834","12,354","8,824",,,,,,,,
U. de Cantabria (Santander),5/11/2019,"12,355","12,734","9,096",,,"12,619","9,014","12,599","8,999","12,582","8,987","12,506","8,933","12,436","8,883","12,408","8,863","12,392","8,851","12,38","8,843","12,355","8,825",,,,,,,,,,
Universidad del País Vasco (Lejona),21/10/2019,"12,361","12,525","8,946","12,477","8,912","12,460","8,900","12,453","8,895","12,449","8,892","12,446","8,890","12,361","8,829",,,,,,,,,,,,,,,,,,
Universidad Jaume I,29/10/2019,"12,370","12,838","9,170","12,732","9,094","12,638","9,027","12,56","8,971","12,545","8,961","12,526","8,947","12,509","8,935","12,496","8,926","12,37","8,836",,,,,,,,,,,,,,
U. de Santiago de Compostela,2/10/2019,"12,408","12,575","8,982","12,442","8,887","12,442","8,887","12,442","8,887","12,442","8,887","12,442","8,887","12,408","8,863",,,,,,,,,,,,,,,,,,
Universidad de Salamanca,30/10/2019,"12,440","12,665","9,046","12,650","9,036","12,640","9,029","12,450","8,893","12,450","8,893","12,440","8,886",,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona,3/10/2019,"12,458","12,546","8,961","12,500","8,929","12,492","8,923","12,464","8,903","12,464","8,903","12,464","8,903","12,458","8,899","12,458","8,899","12,458","8,899",,,,,,,,,,,,,,
Universidad de Valladolid,22/10/2019,"12,476","12,636","9,026","12,599","8,999","12,556","8,969","12,55","8,964","12,538","8,956","12,534","8,953","12,532","8,951","12,526","8,947","12,522","8,944","12,522","8,944","12,52","8,943","12,518","8,941","12,511","8,936","12,51","8,936","12,494","8,924","12,476","8,911"
Universidad de Oviedo,29/10/2019,"12,487","12,790","9,136","12,643","9,031","12,548","8,963","12,548","8,963","12,548","8,963","12,542","8,959","12,534","8,953","12,527","8,948","12,516","8,940","12,487","8,919",,,,,,,,,,,,
U. Pompeu Fabra (Barcelona),26/09/2019,"12,494","12,648","9,034","12,564","8,974","12,564","8,974","12,524","8,946","12,496","8,926","12,494","8,924","12,494","8,924","12,494","8,924","12,494","8,924",,,,,,,,,,,,,,
Universidad de Las Palmas,15/10/2019,"12,498","12,832","9,166","12,683","9,059","12,683","9,059","12,676","9,054","12,498","8,927",,,,,,,,,,,,,,,,,,,,,,
Universidad Pública de Navarra,22/07/2019,"12,500","12,707","9,076","12,500","8,929","12,500","8,929","12,500","8,929","12,500","8,929","12,500","8,929",,,,,,,,,,,,,,,,,,,,
Universidad de Valencia,14/10/2019,"12,509","13,018","9,299","12,709","9,078","12,662","9,044","12,662","9,044","12,509","8,935",,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Zaragoza),25/10/2019,"12,516","12,742","9,101","12,686","9,061","12,672","9,051","12,656","9,040","12,636","9,026","12,615","9,011","12,6","9,000","12,598","8,999","12,585","8,989","12,516","8,940",,,,,,,,,,,,
U. de Extremadura (Badajoz),14/10/2019,"12,547","12,965","9,261","12,768","9,120","12,682","9,059","12,657","9,041","12,607","9,005","12,582","8,987","12,571","8,979","12,568","8,977","12,562","8,973","12,562","8,973","12,554","8,967","12,554","8,967","12,554","8,967","12,554","8,967","12,547","8,962",,
U. Miguel Hernández (S. Juan de Alicante),20/09/2019,"12,590","12,921","9,229","12,798","9,141","12,784","9,131","12,765","9,118","12,738","9,099","12,710","9,079","12,684","9,060","12,668","9,049","12,626","9,019","12,597","8,998","12,59","8,993","12,59","8,993",,,,,,,,
