Universidad,Fecha de última admisión,Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10,20ª Lista,Sobre 10,21ª Lista,Sobre 10,22ª Lista,Sobre 10,23ª Lista,Sobre 10
U. Autónoma de Madrid,12/08/2020,"13,345","13,426","9,590","13,354","9,539","13,345","9,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Complutense de Madrid,22/09/2020,"13,304","13,408","9,577","13,366","9,547","13,333","9,524","13,317","9,512","13,310","9,507","13,304","9,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Granada,05/10/2020,"13,270","13,500","9,643","13,400","9,571","13,358","9,541","13,331","9,522","13,298","9,499","13,276","9,483","13,274","9,481","13,270","9,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Sevilla,05/10/2020,"13,256","13,429","9,592","13,366","9,547","13,327","9,519","13,300","9,500","13,287","9,491","13,271","9,479","13,260","9,471","13,256","9,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Málaga,28/09/2020,"13,186","13,382","9,559","13,325","9,518","13,266","9,476","13,226","9,447","13,222","9,444","13,193","9,424","13,178","9,413","13,186","9,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Murcia,24/09/2020,"13,152","13,442","9,601","13,376","9,554","13,190","9,421","13,152","9,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Alcalá,21/10/2020,"13,134","13,288","9,491","13,243","9,459","13,232","9,451","13,215","9,439","13,200","9,429","13,184","9,417","13,177","9,412","13,167","9,405","13,148","9,391","13,138","9,384","13,134","9,381",,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Córdoba,05/10/2020,"13,122","13,355","9,539","13,292","9,494","13,237","9,455","13,191","9,422","13,176","9,411","13,154","9,396","13,129","9,378","13,122","9,373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URJC - Campus Alcorcón,06/10/2020,"13,100","13,257","9,469","13,100","9,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Cádiz,05/10/2020,"13,090","13,311","9,508","13,252","9,466","13,197","9,426","13,133","9,381","13,121","9,372","13,112","9,366","13,096","9,354","13,090","9,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valencia,16/10/2020,"13,076","13,416","9,583","13,220","9,443","13,104","9,360","13,101","9,358","13,076","9,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Miguel Hernández (S. Juan de Alicante),30/09/2020,"13,038","13,309","9,506","13,210","9,436","13,190","9,421","13,145","9,389","13,114","9,367","13,095","9,354","13,056","9,326","13,048","9,320","13,038","9,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus C.Real),06/10/2020,"13,014","13,281","9,486","13,210","9,436","13,150","9,393","13,125","9,375","13,014","9,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus Albacete),06/11/2020,"12,991","13,280","9,486","13,190","9,421","13,160","9,400","13,130","9,379","12,991","9,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Jaume I,26/10/2020,"12,962","13,256","9,469","13,213","9,438","13,152","9,394","13,102","9,359","13,055","9,325","13,039","9,314","13,025","9,304","12,982","9,273","12,962","9,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Las Palmas,24/09/2020,"12,951","13,078","9,341","13,030","9,307","13,010","9,293","13,003","9,288","12,951","9,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Pública de Navarra,13/10/2020,"12,949","13,318","9,513","13,130","9,379","13,055","9,325","13,055","9,325","13,055","9,325","13,000","9,286","13,000","9,286","13,000","9,286","12,978","9,270","12,965","9,261","12,949","9,249",,,,,,,,,,,,,,,,,,,,,,,,
U. de Extremadura (Badajoz),23/10/2020,"12,902","13,430","9,593","13,224","9,446","13,090","9,350","13,020","9,300","12,971","9,265","12,950","9,250","12,947","9,248","12,947","9,248","12,934","9,239","12,930","9,236","12,930","9,236","12,930","9,236","12,930","9,236","12,929","9,235","12,924","9,231","12,924","9,231","12,919","9,228","12,918","9,227","12,915","9,225","12,911","9,222","12,907","9,219","12,905","9,218","12,902","9,216"
Universidad de Oviedo,26/10/2020,"12,898","13,420","9,586","13,242","9,459","13,014","9,296","12,942","9,244","12,935","9,239","12,921","9,229","12,915","9,225","12,908","9,220","12,898","9,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de La Laguna,30/11/2020,"12,850","13,196","9,426","13,049","9,321","13,000","9,286","12,850","9,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad del País Vasco (Lejona),20/10/2020,"12,823","12,871","9,194","12,848","9,177","12,848","9,177","12,847","9,176","12,847","9,176","12,846","9,176","12,823","9,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Santiago de Compostela,28/10/2020,"12,748","13,031","9,308","12,892","9,209","12,892","9,209","12,892","9,209","12,892","9,209","12,892","9,209","12,770","9,121","12,753","9,109","12,753","9,109","12,748","9,106",,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Zaragoza),03/12/2020,"12,735","13,150","9,393","12,998","9,284","12,965","9,261","12,956","9,254","12,948","9,249","12,922","9,230","12,853","9,181","12,735","9,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Cantabria (Santander),19/10/2020,"12,727","13,242","9,459","13,056","9,326","13,006","9,290","12,948","9,249","12,898","9,213","12,854","9,181","12,822","9,159","12,786","9,133","12,727","9,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. de Zaragoza (Campus Huesca),03/12/2020,"12,719","13,062","9,330","12,973","9,266","12,922","9,230","12,889","9,206","12,880","9,200","12,871","9,194","12,849","9,178","12,719","9,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Salamanca,30/10/2020,"12,709","13,314","9,510","13,047","9,319","12,911","9,222","12,883","9,202","12,869","9,192","12,844","9,174","12,827","9,162","12,709","9,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Valladolid,10/11/2020,"12,708","13,170","9,407","13,021","9,301","12,876","9,197","12,793","9,138","12,730","9,093","12,730","9,093","12,730","9,093","12,729","9,092","12,729","9,092","12,729","9,092","12,726","9,090","12,715","9,082","12,715","9,082","12,708","9,077",,,,,,,,,,,,,,,,,,
Universidad Autónoma de Barcelona,18/09/2020,"12,664","12,718","9,084","12,664","9,046","12,664","9,046","12,664","9,046","12,664","9,046","12,664","9,046","12,664","9,046","12,664","9,046","12,664","9,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona-Bellvitge,06/10/2020,"12,660","12,990","9,279","12,875","9,196","12,688","9,063","12,660","9,043","12,660","9,043","12,660","9,043","12,660","9,043","12,660","9,043","12,660","9,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Barcelona-Clínico,29/09/2020,"12,659","13,135","9,382","13,028","9,306","12,659","9,042","12,659","9,042","12,659","9,042","12,659","9,042","12,659","9,042","12,659","9,042","12,659","9,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de las Islas Baleares,09/11/2020,"12,636","13,106","9,361","12,947","9,248","12,908","9,220","12,900","9,214","12,891","9,208","12,855","9,182","12,838","9,170","12,816","9,154","12,808","9,149","12,800","9,143","12,636","9,026",,,,,,,,,,,,,,,,,,,,,,,,
U. Pompeu Fabra (Barcelona),29/09/2020,"12,598","13,042","9,316","12,904","9,217","12,598","8,999","12,598","8,999","12,598","8,999","12,598","8,999","12,598","8,999","12,598","8,999","12,598","8,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Gerona,06/10/2020,"12,549","12,672","9,051","12,672","9,051","12,549","8,964","12,549","8,964","12,549","8,964","12,549","8,964","12,549","8,964","12,549","8,964","12,549","8,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Rovira i Virgili (Reus),13/10/2020,"12,543","12,791","9,136","12,631","9,022","12,553","8,966","12,553","8,966","12,543","8,959","12,543","8,959","12,543","8,959","12,543","8,959","12,543","8,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Lérida,27/10/2020,"12,525","12,680","9,057","12,611","9,008","12,550","8,964","12,546","8,961","12,534","8,953","12,534","8,953","12,530","8,950","12,525","8,946","12,525","8,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota promedio,,"12,903","13,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desviación típica,,"0,236","0,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
