Universidad,Fecha de última admisión,"Situación según 
Defensores Universitarios / Secretarías",Nota de corte actual,1ª Lista,Sobre 10,2ª Lista,Sobre 10,3ª Lista,Sobre 10,4ª Lista,Sobre 10,5ª Lista,Sobre 10,6ª Lista,Sobre 10,7ª Lista,Sobre 10,8ª Lista,Sobre 10,9ª Lista,Sobre 10,10ª Lista,Sobre 10,11ª Lista,Sobre 10,12ª Lista,Sobre 10,13ª Lista,Sobre 10,14ª Lista,Sobre 10,15ª Lista,Sobre 10,16ª Lista,Sobre 10,17ª Lista,Sobre 10,18ª Lista,Sobre 10,19ª Lista,Sobre 10,20ª Lista,Sobre 10,21ª Lista,Sobre 10,22ª Lista,Sobre 10,23ª Lista,Sobre 10
Universidad Complutense de Madrid,29/09/2021,285 matriculados / 295 plazas (25-oct.),"13,426","13,500","9,643","13,455","9,611","13,446","9,604","13,440","9,600","13,428","9,591","13,426","9,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Sevilla,24/09/2021,290 matriculados / 291 plazas (14-dic.),"13,345","13,530","9,664","13,445","9,604","13,400","9,571","13,390","9,564","13,376","9,554","13,366","9,547","13,350","9,536","13,345","9,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Murcia,17/09/2021,214 matriculados / 200 plazas (15-oct.),"13,345","13,558","9,684","13,492","9,637","13,449","9,606","13,419","9,585","13,345","9,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Granada,24/09/2021,256 matriculados / 253 plazas (20-oct.),"13,319","13,580","9,700","13,494","9,639","13,450","9,607","13,410","9,579","13,386","9,561","13,350","9,536","13,338","9,527","13,319","9,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Autónoma de Madrid,28/10/2021,240 matriculados / 240 plazas,"13,309","13,463","9,616","13,407","9,576","13,350","9,536","13,340","9,529","13,332","9,523","13,321","9,515","13,315","9,511","13,309","9,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Málaga,09/09/2021,165 matriculados / 170 plazas (14-dic.),"13,275","13,476","9,626","13,414","9,581","13,360","9,543","13,338","9,527","13,320","9,514","13,275","9,482","13,275","9,482","13,275","9,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Córdoba,24/09/2021,136 matriculados / 130 plazas (14-dic.),"13,250","13,450","9,607","13,395","9,568","13,335","9,525","13,317","9,512","13,310","9,507","13,275","9,482","13,265","9,475","13,250","9,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Cádiz,24/09/2021,135 matriculados / 140 plazas (14-dic.),"13,232","13,430","9,593","13,380","9,557","13,314","9,510","13,294","9,496","13,280","9,486","13,258","9,470","13,240","9,457","13,232","9,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Miguel Hernández (S. Juan de Alicante),06/10/2021,138 matriculados / 130 plazas (15-oct.),"13,150","13,419","9,585","13,340","9,529","13,270","9,479","13,250","9,464","13,240","9,457","13,215","9,439","13,190","9,421","13,185","9,418","13,180","9,414","13,162","9,401","13,158","9,399","13,150","9,393","13,150","9,393",,,,,,,,,,,,,,,,,,,,
U. de C-La Mancha (Campus C.Real),27/10/2021,78 matriculados / 75 plazas (18-oct.),"13,146","13,421","9,586","13,339","9,528","13,280","9,486","13,260","9,471","13,146","9,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
